run,added_ref,min_length,min_logw,pred5_bm,herb5_bm,fpred_prod,fherb_prod,ftot_prod,tot5_bm
1,None,7.4 cm,1,24.1442863,6.714650451,22.46105247,1.723500065,24.18455253,30.85893675
1,None,10 cm,1.4,24.1442863,6.714650451,20.66218922,0.85179452,21.51398374,30.85893675
1,None,13 cm,1.7,24.1442863,6.714650451,17.58013032,0.586912248,18.16704257,30.85893675
1,None,15 cm,1.9,24.1442863,6.714650451,17.96378601,0.370988335,18.33477434,30.85893675
1,None,18 cm,2.1,24.1442863,6.714650451,16.71972991,0.277317964,16.99704788,30.85893675
1,None,19 cm,2.2,24.1442863,6.714650451,14.65289506,0.262468314,14.91536337,30.85893675
1,None,20 cm,2.3,24.1442863,6.714650451,15.3591604,0.211960891,15.57112129,30.85893675
1,None,22 cm,2.4,24.1442863,6.714650451,14.62785439,0.1863882,14.81424259,30.85893675
1,None,25 cm,2.6,24.1442863,6.714650451,13.04305499,0.144679627,13.18773462,30.85893675
