profile,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10
res_ideal,100,98,94.5,90.9,92.4,86.9,81.3,99.6,0,50
res_max,20,80.9,80,50,10,0,0,0,0,0
res_min,100,100,100,100,92.4,100,100,100,100,100
fsh_ideal,100,100,90,0,0,0,0,0,0,0
fsh_max,95,100,80,0,0,0,0,0,0,0
fsh_min,100,100,90,70,60,0,0,0,0,0
tur_ideal,100,97.3,93.4,93.2,86.7,85.5,0,0,0,0
tur_max,95,90,80,0,0,0,0,0,0,0
tur_min,100,100,95.2,96.9,92.4,94.1,88.7,100,30,100
best_min,95,100,80,50,10,0,0,0,0,0
best_max,100,100,90,70,60,0,0,0,0,0
best_ideal,100,100,90,70,60,0,0,0,0,0
worst_ideal,0,0,0,0,0,70,70,70,70,70
